animal,動物
ant,アリ
ape,類人猿
bat,コウモリ
bear,熊
beaver,ビーバー
beetle,甲虫
bird,鳥
buffalo,水牛
butterfly,蝶（ちょう）
camel,ラクダ
canary,カナリア
cat,猫
caterpillar,いも虫、毛虫
chicken,ニワトリ
clam,二枚貝
crow,カラス
deer,鹿（しか）
dog,犬
dolphin,イルカ
donkey,ロバ
duck,カモ、アヒル
eagle,ワシ
eel,ウナギ
elephant,象
falcon,ハヤブサ
fish,魚、魚類
flea,ノミ
fox,キツネ
frog,カエル
fungus,菌類
giraffe,キリン
goat,ヤギ
goldfish,金魚
gorilla,ゴリラ
grasshopper,バッタ
hamster,ハムスター
horse,馬
insect,昆虫
jellyfish,クラゲ
kangaroo,カンガルー
koala,コアラ
leopard,ヒョウ
lion,ライオン
lizard,トカゲ
mammal,哺乳類
mammoth,マンモス
monkey,猿
moth,蛾
mouse,小型のネズミ
octopus,タコ
ostrich,ダチョウ
panda,パンダ
panther,黒ヒョウ
penguin,ペンギン
pig,豚
rabbit,ウサギ
rat,大型のネズミ
raven,カラス
reindeer,トナカイ
reptile,爬虫類
robin,コマツグミ
sardine,イワシ
serpent,蛇
shark,鮫（さめ）
sheep,羊
slug,ナメクジ
snail,カタツムリ
snake,蛇
sparrow,スズメ
spider,クモ
squid,イカ
squirrel,リス
swan,白鳥
tail,しっぽ
tiger,虎
toad,ヒキガエル
turkey,七面鳥
turtle,海ガメ
wasp,ススメバチ
whale,クジラ
wolf,狼（おおかみ）
zebra,シマウマ
rhinoceros,サイ
crocodile,ワニ
hedgehog,ハリネズミ
mole,モグラ
seal,あざらし
anteater,アリクイ
sloth,ナマケモノ
chipmunk,シマリス
cheetah,チーター
jaguar,ジャガー
weasel,イタチ
tadpole,オタマジャクシ
orangutan,オランウータン
otter,カワウソ
puppy,こいぬ
walrus,セイウチ
gibbon,テナガザル