alcohol,アルコール飲料
beer,ビール
coffee,コーヒー
drink,飲み物
milk,牛乳
soup,スープ、汁
tea,茶、紅茶
water,水
whiskey,ウイスキー
wine,ワイン
apple,リンゴ
banana,バナナ
cherry,サクランボ
grape,ブドウ
lemon,レモン
melon,メロン
orange,オレンジ
peach,桃
beef,牛肉
bread,パン、食パン
butter,バター
cake,ケーキ
candy,キャンディー
cheese,チーズ
chocolate,チョコレート
cookie,クッキー
corn,トウモロコシ
egg,卵
jam,ジャム
pork,豚肉
potato,ジャガイモ
rice,米、ごはん
salad,サラダ
salt,塩、食塩
sandwich,サンドイッチ
sugar,砂糖
taste,味、味覚
toast,トースト、焼きパン
vegetable,野菜
bean,豆
cream,クリーム
flavor,味、風味
flour,小麦粉
grain,穀物、穀類
hamburger,ハンバーガー
honey,はちみつ
ingredient,材料
mushroom,キノコ
nut,木の実、堅果
pea,エンドウ豆
peanut,落花生
pepper,コショウ
spice,香辛料
stew,シチュー
tomato,トマト
vitamin,ビタミン
wheat,小麦
broccoli,ブロッコリー
cabbage,キャベツ
carrot,ニンジン
celery,（植物の）セロリ
cucumber,キュウリ
eggplant,（野菜の）ナス
garlic,ニンニク
lettuce,レタス
onion,玉ねぎ
pumpkin,カボチャ
radish,ハツカダイコン
spinach,ホウレンソウ
apricot,アンズ、杏子の木
avocado,アボカドの実
berry,（果物の）ベリー
blueberry,ブルーベリー
coconut,ココナツ
fig,イチジクの実
grapefruit,グレープフルーツ
mango,マンゴー
pineapple,パイナップル
plum,セイヨウスモモ
raspberry,キイチゴ
strawberry,イチゴ
watermelon,スイカ
bacon,ベーコン
brandy,ブランデー
cereal,穀物、穀草
cider,リンゴジュース
crab,カニ
curry,カレー
dairy,乳製品
dessert,デザート
dressing,ドレッシング、ソース
fiber,食物繊維
ham,ハム
jelly,ゼリー
liquor,蒸留酒
lobster,ロブスター
noodle,麺、麺類
nutrition,栄養
oyster,カキ
pasta,パスタ
pizza,ピザ
raisin,干しブドウ
salmon,鮭
sausage,ソーセージ
shellfish,貝、甲殻類
shrimp,エビ
steak,ステーキ
tuna,マグロ
vanilla,バニラ
vinegar,酢、食用酢
yogurt,ヨーグルト
additive,（食べ物の）添加物
almond,アーモンド
appetizer,食前酒、前菜
beefsteak,ビーフステーキ
beverage,飲料
biscuit,小型パン
brunch,遅い朝食
bun,丸いパン
champagne,シャンパン
chestnut,栗（くり）
chickpea,ひよこ豆
cocktail,カクテル
cocoa,ココア
cola,コーラ
coloring,着色料
cracker,クラッカー
crust,ぱんの耳
custard,カスタード
donut,ドーナツ
flavoring,香味料
gin,（酒の）ジン
gravy,肉汁
ketchup,ケチャップ
lemonade,レモン水
mustard,からし
nutrient,栄養物、栄養素
okra,オクラ
omelet,オムレツ
pancake,パンケーキ、ホットケーキ
parsley,パセリ
pastry,ペーストリー用生地
pickle,漬物
popcorn,ポップコーン
preservative,保存料、防腐剤
protein,たんぱく質
pudding,プディング菓子
seafood,シーフード
seasoning,調味（料）
sesame,胡麻（ごま）
sherry,シェリー酒
soybean,大豆
spaghetti,スパゲッティ
supplement,栄養補助食品
syrup,シロップ、糖蜜
tonic,炭酸水
topping,上に乗せる具
walnut,クルミ（の実）
pickled plum,梅干
Japanese pancake,お好み焼き
prawn,エビ
mackerel,サバ
herring,ニシン
saury,サンマ
cod,夕ラ
plaice,カレイ
abalone,アワビ
herb,ハーブ
burdock,ごぼう
ladle,おたま
strainer,ざる
chopsticks,はし
steamer,蒸し器
croissant,クロワッサン
loquat,びわ
persimmon,柿
kiwi,キウィ
muscat,マスカット
lime,ライム
soymilk,豆乳
barley tea,麦茶