原材料の使用量を減らすとともに，消費電力を少なくした製品を提供することを何というか。,CSR
参画しているプロジェクトにおいて，モデル化のスキルを習得するため，一部の業務プロセスのモデル化を担当することを何というか。,OJT
事業活動における生産管理や品質管理などの管理業務を円滑に進める手法の一つのことを何というか。,PDCA
経営者が、自社の株式の大半を買い取ることで経営権を取得することを何というか。,MBO
企業戦略の決定、中長期的な経営事項についての責任を負う役職で最高経営責任者のことを何というか。,CEO
企業の経営状況を外部に公開することを何というか。,ディスクロージャ
仕事を離れて実施される教育訓練を通じて，知識や技術を習得させることを何というか。,Off-JT
本来は昇進に値する能力を有しながらも、性別や人種などを理由として組織内での昇進が阻まれている状態を示す言葉を何というか。,グラスシーリング
予期せぬ災害が発生した場合に、最低限の事業を継続し、または早期に復旧・再開できるようにする企業が定めた行動計画のことを何というか。,BCP
人事資源管理と訳され、従業員を経営上の重要な資源と位置付け、長期的な計画に基づき、戦略的に育成や活用を図る管理手法のことを何というか。,HRM
日本の株式会社において取締役と会計参与の職務の執行を監査する役割をもつ役職・機関を何というか。,監査役
経営戦略に沿った情報戦略やIT投資計画に関する責任を持つ役職である最高情報責任者のことを何というか。,CIO
従業員、顧客、株主、得意先、地域などのように、組織の行う活動と利害関係をもつ者を何というか。,ステークホルダー
企業が事業を継続するためにBCPを策定し、その運用や見直し、または教育や訓練などを包括的に行う管理プロセスのことを何というか。,BCM
組織の自己完結性を高め、迅速で柔軟な経営を実現するために社内の各部門をそれぞれ独立した会社のように分け事業を運営する組織形態を何というか。,カンパニ制
製造.営業.経理.開発などのように職能ごとに構成された組織形態を何というか。,職能別組織
他の会社の株式を所有することによって、その会社の事業活動を支配することを目的に設立された会社を何というか。,持株会社
具体的な事例を詳しく研究・分析し、そこから一般的な法則性を探求する研究方法や教育技法を何というか。,ケーススタディ
ある目的を達成するために各部門から専門性の高い人材を集めて構成される有期性のある組織形態を何というか。,プロジェクト組織
社内組織を小集団に分け、全体を構成する一部の機能として相互作用的に活動させる組織形態を何というか。,アメーバ組織